Area,mnemonic,Gross Disposable Household Income (GDHI),Balance of primary income,Primary resources,Operating surplus,Mixed income,Compensation of employees,Property income received,Primary uses,Property income paid,Balance of secondary income,Secondary resources,Imputed social contributions/Social benefits received other than social transfers in kind,Other current transfers received,Secondary uses,Current taxes on income and wealth,Social contributions/Social benefits paid,Other current transfers paid
lacu:Hounslow,E09000018,1.5,2.1,1.9,-7.9,3.8,3,2.3,-15.9,-15.9,4.2,1.2,1,3.3,3,3.2,2.9,1.9
lacu:Kingston upon Thames,E09000021,0.3,1.8,1.5,-8.1,3,3.8,0.5,-16,-16,6.8,-0.1,-0.4,2.9,4.3,2.5,6.6,1.7
lacu:Merton,E09000024,0.2,1.8,1.6,-8.8,2.1,3.8,0.5,-16.7,-16.7,6.7,-0.9,-1.1,2,4.2,2.4,6.6,0.9
lacu:Redbridge,E09000026,4.2,6.2,5.8,-5.7,9,8.4,4.6,-13.9,-13.9,16.4,1.9,1.8,4.3,8.9,11.9,7.5,2.4
lacu:Richmond upon Thames,E09000027,1.1,1.7,1.4,-7.6,2.1,3,2.3,-15.6,-15.6,3.2,2.2,2.1,3.4,3,3,2.9,1.9
lacu:Sutton,E09000029,0.8,2,1.7,-8.1,4.3,3.8,0.5,-16.1,-16.1,8.3,1,0.8,3,4.5,2.6,6.5,1.8
lacu:Waltham Forest,E09000031,4.3,6.3,5.9,-7.1,9.6,8.4,4.6,-15.2,-15.2,16.9,1.1,0.8,4.4,8.8,11.9,7.5,2.6
lacu:Bracknell Forest,E06000036,2.9,4.1,3.2,-5.8,9.2,5.2,-3.3,-33.9,-33.9,8.3,1.2,0.7,5.6,5.2,7.9,3,3.7
lacu:Brighton and Hove,E06000043,3.7,5.4,4.5,0.7,11.5,5,0.7,-29.4,-29.4,15.6,1.3,1.1,3.1,7.6,6.1,9.2,2
lacu:Isle of Wight,E06000046,2.9,1.5,0.7,-0.8,7.9,0.4,-1.7,-30.4,-30.4,62.9,3,3,3.5,-0.6,4,-3.9,2.4
lacu:Medway,E06000035,2.6,4,3.2,-0.1,9.9,3.4,0.3,-29.9,-29.9,13.9,-0.3,-0.8,6.2,4.4,4.9,4.3,3.8
lacu:Milton Keynes,E06000042,4.4,5.8,5.1,0.9,12.3,5.8,1.5,-29.2,-29.2,12.5,3.8,3.5,7.4,7.9,8,8.2,4.8
lacu:Portsmouth,E06000044,3.4,4.6,3.9,0.7,11.2,4.5,-2.7,-29.4,-29.4,15.1,0.3,-0.1,5.8,4.2,7.8,2.4,3.6
lacu:Reading,E06000038,3.8,4.9,4.3,2.6,8.2,5.2,-3.3,-28,-28,9.9,0.4,-0.1,5,5.1,8.1,3,3.2
lacu:Slough,E06000039,4.7,5.5,4.8,3.3,10.3,5.2,-3.3,-27.6,-27.6,10,0.8,0.3,5.4,4.8,7.8,2.9,3.4
lacu:Southampton,E06000045,4.7,6.8,6.1,1.6,11.1,7.2,0.3,-28.8,-28.8,19.4,-0.1,-0.7,6.6,7.1,10.6,5.7,4.1
lacu:West Berkshire,E06000037,2.6,3.8,3.1,-3.4,9.9,5.2,-3.3,-32.3,-32.3,9.6,1.3,1.1,5,5.3,7.9,3.1,2.9
lacu:Windsor and Maidenhead,E06000040,2.7,4,3.2,-0.7,9.6,5.2,-3.3,-30.4,-30.4,8.3,1.5,1.2,5.3,5.6,7.8,3.2,3.5
lacu:Wokingham,E06000041,2.4,3.7,2.8,-4.2,8.7,5.2,-3.3,-32.8,-32.8,8,2,1.7,6,5.5,8,3.1,4.3
lacu:Buckinghamshire,E06000060,2.7,3.4,2.7,2.7,8.8,3,-0.7,-28,-28,6.2,5,5.1,4.4,5.6,5.1,6.4,3
lacu:East Sussex,E10000011,2,2.6,1.7,-1.3,10.6,1.9,-1.5,-30.8,-30.8,9.8,3.7,3.6,4.2,4.8,2.6,7.1,2.8
lacu:Hampshire,E10000014,2.9,3.8,3.1,1,9.4,3.6,-1,-29.1,-29.1,9.4,2.1,1.8,5,4.8,5.1,4.7,3.3
lacu:Kent,E10000016,3,3.7,3,1.3,9.3,3.4,-0.8,-29,-29,8.6,2.3,2,5.8,4.4,5.8,3.3,3.9
lacu:Oxfordshire,E10000025,3.7,4.5,3.7,-0.9,10.7,6.2,-5.9,-30.5,-30.5,8,2.7,2.5,4.9,5.2,6.6,4.3,3.3
lacu:Surrey,E10000030,2.8,4.5,3.6,-2.5,7,6.1,-2,-31.6,-31.6,11.4,1.5,1.4,3.7,6.6,9.4,3.8,2.4
lacu:West Sussex,E10000032,3.1,4.2,3.2,-2,9.5,4.8,-1.5,-31.3,-31.3,13,2.2,2.1,4.7,5.3,6.8,4.4,3.1
lacu:Bath and North East Somerset,E06000022,2,2.5,2.3,1.8,12.5,2.2,-2,-8.7,-8.7,5.8,2.9,2.4,9,3.9,2.8,4.3,6.3
"lacu:Bristol, City of",E06000023,4.3,4.9,4.7,4.4,14.9,4.8,-2.7,-6.4,-6.4,8.2,1.1,0.2,11,4.1,6.2,2.5,7.2
lacu:Cornwall,E06000052,4.9,4.3,4,1.7,11.3,5.2,-2.3,-8.8,-8.8,-135.3,2.5,2.2,5.8,1,6.3,-2.2,4.1
lacu:Isles of Scilly,E06000053,6.1,4.8,4.4,2.5,11,5.2,-2.3,-8.1,-8.1,-80,3.2,3.4,1.1,-0.5,2.9,-2.3,-0.6
lacu:North Somerset,E06000024,1.8,2.4,2.2,2.2,11.4,2.2,-2,-8.4,-8.4,11.8,2.3,1.9,8.5,4,3.2,4.3,5.6
lacu:Plymouth,E06000026,4.3,3,2.8,-0.7,9.9,2.4,3.3,-10.9,-10.9,-12.5,6.2,6,9,2.8,2,2.7,5.6
"lacu:Bournemouth, Christchurch and Poole",E06000058,2.8,3.8,3.6,3.5,12.1,2.9,0.7,-7.2,-7.2,14.8,2,1.7,5.8,5,1.5,7.6,3.8
lacu:South Gloucestershire,E06000025,2.1,2.6,2.4,3.4,11.9,2.2,-2,-7.3,-7.3,4.7,3.4,2.9,8.9,4,3.2,4.3,6
lacu:Swindon,E06000030,2.8,4.2,4.1,10,12.5,3.8,-3.6,-1.3,-1.3,10.6,-0.2,-1.4,12.3,4.7,5.4,3.7,8.2
lacu:Torbay,E06000027,3,1.8,1.6,1.6,11.2,2.2,-7.2,-8.9,-8.9,55.6,2.4,2.2,5.7,-1,7.9,-5.9,3.7
lacu:Wiltshire,E06000054,3.9,5.4,5.2,5.6,11,6.3,-2,-5.4,-5.4,17.2,2.8,2.4,9,7,8.5,6.1,6.2
lacu:Devon,E10000008,3.3,5,4.7,1.8,10.9,6.2,-1,-8.8,-8.8,133.5,1.3,1,6.1,6.3,6.6,6.5,4.3
lacu:Dorset,E06000059,2.3,3,2.7,2.2,12.4,1.9,0.8,-8.4,-8.4,97,2.8,2.6,4.8,4.7,4.9,4.7,3.3
lacu:Gloucestershire,E10000013,1.6,1.5,1.4,4.2,9,1.2,-3.6,-6.6,-6.6,1.1,2.6,2.2,8.4,2.2,1.5,2.2,5.8
lacu:Somerset,E10000027,3.3,3.8,3.6,3.8,11,3.7,-0.7,-7,-7,15.1,2.3,1.9,8.1,3.8,3.9,3.5,5.5
lacu:Isle of Anglesey,W06000001,2.6,3,2,1.3,9.7,1.6,0.5,-31.4,-31.4,31.8,2.9,3.1,0.8,3.8,3,4.8,0.6
lacu:Gwynedd,W06000002,2.6,0.7,-0.1,6.2,9,0.1,-10.2,-28.1,-28.1,-49.9,0.1,0.1,0.4,-4.5,6.1,-10.2,0.4
lacu:Conwy,W06000003,3.1,5.4,4.4,5,6.9,4.9,0.7,-28.9,-28.9,-50.5,0.9,0.8,1.6,6.5,5.9,8,0.9
lacu:Denbighshire,W06000004,3,5.2,4.4,2.3,10.7,4.9,0.7,-30.7,-30.7,-214.4,0.9,0.9,1.8,6.4,5.3,8.1,1.3
lacu:Flintshire,W06000005,3.4,2.9,2.2,2.4,10.9,1.9,-0.1,-30.6,-30.6,-1.8,3.2,2.9,6.1,2,2.5,1.3,4.2
lacu:Wrexham,W06000006,3,2.8,2.2,2.7,12,1.9,-0.1,-30.5,-30.5,0.1,2.3,2,5.9,1.9,2.3,1.3,4
lacu:Powys,W06000023,5.7,5.9,4.9,3.7,10,6.4,-1.2,-29.8,-29.8,-0.8,1.6,1.6,0.9,1.8,10.6,-2.4,0.6
lacu:Ceredigion,W06000008,2.8,2.8,1.7,3.3,8.8,1,-2.1,-30,-30,11.1,1.5,1.6,-0.1,1.2,3.1,0.6,-0.7
lacu:Pembrokeshire,W06000009,2.5,2.4,1.4,2.2,10,1,-2.1,-30.7,-30.7,7.7,1.9,2,1.3,1.6,3.8,0.6,1
lacu:Carmarthenshire,W06000010,1.9,1.8,1,-0.2,9.2,1,-2.1,-32.4,-32.4,-2.7,1.5,1.5,1.2,1.2,2.6,0.6,1
lacu:Swansea,W06000011,3.5,6,5.1,0.1,12.1,6.2,0.3,-32.2,-32.2,132,-1.1,-1.4,3.4,4.9,9.5,3.1,2.4
