Area,mnemonic,Gross Disposable Household Income (GDHI),Balance of primary income,Primary resources,Operating surplus,Mixed income,Compensation of employees,Property income received,Primary uses,Property income paid,Balance of secondary income,Secondary resources,Imputed social contributions/Social benefits received other than social transfers in kind,Other current transfers received,Secondary uses,Current taxes on income and wealth,Social contributions/Social benefits paid,Other current transfers paid
lacu:North Ayrshire,S12000021,15803,16479,16682,1409,1036,12304,1933,203,203,-676,6163,5764,399,6839,2219,4012,608
lacu:North Lanarkshire,S12000050,16261,18574,18779,1425,1120,14209,2024,205,205,-2313,5168,4779,389,7481,2467,4417,597
lacu:Orkney Islands,S12000023,17672,20558,20919,2499,1545,12864,4010,361,361,-2885,5268,4813,456,8154,2137,5342,674
lacu:Perth and Kinross,S12000048,19362,21391,21760,2562,1675,14099,3424,369,369,-2029,6108,5675,433,8138,3208,4286,643
lacu:Renfrewshire,S12000038,17040,19069,19352,1969,1041,14677,1665,283,283,-2028,5886,5476,410,7915,2818,4467,630
lacu:Scottish Borders,S12000026,18739,19783,20122,2356,1678,12624,3463,339,339,-1044,6465,6027,438,7509,2659,4195,655
lacu:Shetland Islands,S12000027,19586,23678,24043,2529,2036,16651,2826,364,364,-4092,4849,4389,461,8942,3121,5151,670
lacu:South Ayrshire,S12000028,18037,18816,19147,2299,1171,12970,2708,331,331,-779,6599,6182,417,7378,2611,4130,638
lacu:South Lanarkshire,S12000029,17751,20325,20610,1980,1282,14735,2614,285,285,-2575,5649,5239,410,8223,2835,4766,623
lacu:Stirling,S12000030,19564,22191,22483,2035,1637,15053,3759,293,293,-2627,6321,5888,433,8948,3641,4644,663
lacu:West Dunbartonshire,S12000039,15302,16295,16473,1233,963,13219,1057,177,177,-994,6024,5607,417,7017,2276,4100,642
lacu:West Lothian,S12000040,17366,20478,20729,1749,1176,15427,2377,251,251,-3112,5310,4897,414,8422,2892,4913,617
lacu:Antrim and Newtownabbey,N09000001,16420,18361,18539,1972,1421,12746,2399,177,177,-1941,5369,4814,555,7310,2199,4359,752
"lacu:Armagh City, Banbridge and Craigavon",N09000002,15589,17501,17654,1687,1774,11681,2513,153,153,-1912,4871,4316,555,6783,2043,3994,746
lacu:Belfast,N09000003,15605,16654,16789,1509,1763,11410,2107,135,135,-1049,5438,4955,483,6486,2012,3789,685
lacu:Causeway Coast and Glens,N09000004,16041,16391,16574,2016,2012,10025,2521,183,183,-350,5431,4878,553,5781,1760,3266,756
lacu:Derry City and Strabane,N09000005,14382,14340,14467,1403,1640,9462,1963,127,127,41,5474,4976,498,5432,1550,3191,692
lacu:Fermanagh and Omagh,N09000006,15158,16066,16222,1714,2094,9748,2666,156,156,-908,5180,4619,561,6088,1670,3662,755
lacu:Lisburn and Castlereagh,N09000007,18172,21077,21294,2409,1625,14386,2873,216,216,-2905,5304,4717,587,8209,2803,4617,788
lacu:Mid and East Antrim,N09000008,16921,18346,18517,1899,1579,12499,2539,171,171,-1425,5508,4936,573,6933,2124,4032,778
lacu:Mid Ulster,N09000009,15899,17531,17681,1644,2244,10889,2905,150,150,-1632,4683,4115,568,6316,1775,3786,755
"lacu:Newry, Mourne and Down",N09000010,15316,16536,16703,1856,2188,10131,2528,168,168,-1219,4970,4422,547,6189,1757,3695,737
lacu:Ards and North Down,N09000011,17377,18337,18544,2306,1799,11660,2779,207,207,-960,6256,5688,568,7216,2295,4146,774
ladu:Darlington,E06000005,16609,17909,18177,1878,1244,12618,2438,268,268,-1301,5909,5437,472,7210,2397,4134,678
ladu:County Durham,E06000047,15484,16608,16815,1448,1151,11949,2267,207,207,-1124,5887,5426,461,7012,2301,4036,675
ladu:Hartlepool,E06000001,15154,15127,15346,1536,1053,11085,1671,219,219,27,6130,5666,464,6103,2068,3370,665
ladu:Middlesbrough,E06000002,14747,15079,15284,1437,1032,10654,2161,205,205,-332,5951,5521,430,6283,1928,3710,645
ladu:Northumberland,E06000057,18778,19031,19344,2186,1488,12548,3121,313,313,-252,7059,6556,503,7311,2631,3959,721
ladu:Redcar and Cleveland,E06000003,15619,16052,16292,1686,1045,11537,2024,240,240,-433,6389,5945,444,6821,2154,4030,637
ladu:Stockton-on-Tees,E06000004,16180,17919,18174,1795,1135,12872,2373,256,256,-1739,5437,4977,460,7176,2557,3954,665
ladu:Gateshead,E08000037,14857,16429,16648,1531,1072,12386,1659,218,218,-1572,5508,5075,433,7080,2287,4156,637
ladu:Newcastle upon Tyne,E08000021,15411,17232,17464,1624,1415,11698,2726,231,231,-1822,5020,4587,432,6841,2309,3869,664
ladu:North Tyneside,E08000022,16550,18754,19061,2155,1178,13619,2109,307,307,-2204,5630,5199,431,7834,2584,4619,631
ladu:South Tyneside,E08000023,15521,16117,16333,1518,955,11724,2135,216,216,-595,6013,5582,432,6609,2107,3869,633
ladu:Sunderland,E08000024,15204,16069,16272,1429,1039,11817,1987,204,204,-864,5849,5417,432,6713,2005,4064,644
ladu:Blackburn with Darwen,E06000008,13102,13517,13713,1279,1132,9260,2043,196,196,-415,5100,4756,343,5515,1564,3420,530
ladu:Blackpool,E06000009,15630,15440,15710,1765,1585,10272,2088,270,270,190,6165,5805,360,5974,1651,3754,569
ladu:Cheshire East,E06000049,22725,25706,26183,3118,1711,16760,4595,478,478,-2981,6503,6052,451,9484,4215,4606,663
ladu:Cheshire West and Chester,E06000050,20382,22709,23130,2745,1513,15499,3374,421,421,-2327,6229,5795,434,8556,3407,4504,645
ladu:Halton,E06000006,16501,18438,18695,1677,1029,13819,2169,257,257,-1938,5656,5285,371,7593,2744,4273,577
ladu:Warrington,E06000007,19057,22679,23032,2303,1346,16221,3161,352,352,-3622,5227,4807,420,8849,3393,4831,626
ladu:Allerdale,E07000026,17857,18995,19334,2210,1177,12649,3298,340,340,-1138,5985,5572,413,7123,2504,3996,623
ladu:Barrow-in-Furness,E07000027,16662,18478,18767,1878,902,13706,2280,289,289,-1817,5643,5235,408,7460,2572,4260,628
ladu:Carlisle,E07000028,16471,17732,18044,2030,1253,13012,1749,312,312,-1261,6120,5696,424,7381,2377,4347,657
ladu:Copeland,E07000029,17574,20290,20557,1742,844,15787,2184,268,268,-2716,6278,5867,410,8993,3191,5173,629
ladu:Eden,E07000030,19841,20576,21032,2967,2273,12024,3768,456,456,-735,6394,5958,436,7129,2545,3932,651
ladu:South Lakeland,E07000031,23036,23295,23896,3910,2100,12417,5469,601,601,-259,7331,6893,438,7590,2795,4151,644
ladu:Bolton,E08000001,15910,17019,17255,1546,1356,11666,2687,237,237,-1108,5480,5109,371,6588,2182,3834,572
ladu:Bury,E08000002,17828,20510,20831,2097,1539,13658,3536,321,321,-2681,5273,4905,368,7954,2671,4723,560
ladu:Manchester,E08000003,14452,16605,16854,1627,1749,11402,2076,249,249,-2153,4189,3876,313,6341,1886,3942,513
ladu:Oldham,E08000004,14175,15117,15334,1417,1263,10827,1827,217,217,-941,5152,4793,359,6094,1929,3611,553
ladu:Rochdale,E08000005,14725,15766,15994,1488,1317,11426,1762,228,228,-1041,5383,5019,364,6423,2047,3815,562
ladu:Salford,E08000006,17053,19298,19579,1837,1569,13232,2942,281,281,-2245,5029,4644,385,7274,2721,3959,594
ladu:Stockport,E08000007,19802,22871,23291,2746,1671,15139,3736,420,420,-3069,5759,5363,396,8828,3307,4926,595
ladu:Tameside,E08000008,15558,16958,17221,1725,1333,12554,1610,264,264,-1400,5339,4946,393,6739,2171,3965,602
ladu:Trafford,E08000009,21281,27100,27575,3104,1866,18360,4246,475,475,-5819,5301,4919,382,11120,4937,5614,569
ladu:Wigan,E08000010,15626,17593,17854,1707,1337,12748,2063,261,261,-1967,5233,4852,382,7200,2288,4329,584
ladu:Burnley,E07000117,14296,15101,15294,1266,1143,11352,1533,194,194,-804,5597,5221,376,6401,1967,3861,573
ladu:Chorley,E07000118,17759,19835,20180,2254,1433,13659,2834,345,345,-2076,5768,5356,412,7844,2807,4410,627
ladu:Fylde,E07000119,21087,21649,22133,3156,1635,13234,4108,484,484,-562,7480,7061,418,8042,3128,4313,601
ladu:Hyndburn,E07000120,14425,15238,15456,1422,1362,11194,1478,218,218,-814,5532,5157,376,6346,1943,3829,574
