Area,mnemonic,Gross Disposable Household Income (GDHI),Balance of primary income,Primary resources,Operating surplus,Mixed income,Compensation of employees,Property income received,Primary uses,Property income paid,Balance of secondary income,Secondary resources,Imputed social contributions/Social benefits received other than social transfers in kind,Other current transfers received,Secondary uses,Current taxes on income and wealth,Social contributions/Social benefits paid,Other current transfers paid
ladu:Tunbridge Wells,E07000116,25424,31562,32032,3841,2748,19922,5521,470,470,-6137,5777,5343,434,11915,6039,5238,638
ladu:Cherwell,E07000177,21912,26647,27052,3308,2276,18217,3251,405,405,-4735,5223,4813,410,9958,4163,5181,614
ladu:Oxford,E07000178,20675,25627,26050,3454,2820,17309,2466,423,423,-4951,4622,4201,421,9573,3954,4953,666
ladu:South Oxfordshire,E07000179,27882,35095,35616,4252,2860,22301,6202,521,521,-7213,6156,5742,414,13369,6443,6322,605
ladu:Vale of White Horse,E07000180,23692,29132,29586,3708,2328,19422,4129,454,454,-5440,5734,5321,413,11175,4995,5571,608
ladu:West Oxfordshire,E07000181,25299,29406,29861,3720,2644,17406,6092,456,456,-4107,5801,5385,416,9908,4338,4962,607
ladu:Elmbridge,E07000207,37614,52607,53374,6275,3265,34988,8846,767,767,-14993,6626,6194,432,21619,12647,8346,625
ladu:Epsom and Ewell,E07000208,26990,33412,34035,5089,2701,21199,5046,623,623,-6422,5935,5497,438,12357,6045,5666,646
ladu:Guildford,E07000209,27254,33920,34435,4210,2605,21231,6389,515,515,-6666,5772,5317,454,12438,6280,5482,675
ladu:Mole Valley,E07000210,31191,37079,37764,5595,2931,22485,6753,684,684,-5889,7528,7077,451,13416,7234,5539,643
ladu:Reigate and Banstead,E07000211,26513,33178,33683,4131,2534,21813,5205,505,505,-6664,5992,5555,437,12656,6370,5639,646
ladu:Runnymede,E07000212,24160,30031,30535,4122,2509,19633,4271,504,504,-5871,5302,4846,456,11173,5568,4929,676
ladu:Spelthorne,E07000213,23455,27888,28396,4153,2439,18825,2979,508,508,-4433,5848,5401,446,10281,4601,5030,649
ladu:Surrey Heath,E07000214,27023,33354,33869,4204,2334,22099,5231,514,514,-6331,6385,5937,448,12716,6377,5693,646
ladu:Tandridge,E07000215,27334,33245,33791,4468,2754,21182,5388,547,547,-5910,6661,6217,444,12572,6525,5402,645
ladu:Waverley,E07000216,30672,37182,37759,4715,2763,22883,7398,577,577,-6510,7254,6809,445,13764,7354,5784,627
ladu:Woking,E07000217,27672,35465,36003,4397,2769,23630,5206,538,538,-7792,5846,5410,436,13638,6899,6098,641
ladu:Adur,E07000223,18789,20540,20953,3376,2336,13039,2203,413,413,-1751,5853,5447,406,7604,2680,4294,630
ladu:Arun,E07000224,20946,21032,21453,3445,2275,12400,3334,422,422,-85,7180,6764,416,7265,2669,3977,619
ladu:Chichester,E07000225,25596,28257,28764,4146,2889,15822,5907,507,507,-2661,7223,6809,414,9884,4200,5058,626
ladu:Crawley,E07000226,18554,22474,22792,2594,1982,16809,1407,317,317,-3920,4643,4230,413,8563,3320,4605,639
ladu:Horsham,E07000227,25883,29758,30268,4163,2519,18359,5227,509,509,-3876,6795,6363,432,10671,5035,5013,623
ladu:Mid Sussex,E07000228,24508,29840,30324,3952,2406,19611,4356,483,483,-5332,6079,5655,425,11411,5451,5339,622
ladu:Worthing,E07000229,19697,21236,21646,3353,2246,13431,2616,410,410,-1539,6298,5890,409,7837,2724,4472,641
ladu:Bath and North East Somerset,E06000022,21383,24399,24851,3186,2410,14756,4498,452,452,-3017,5684,5213,471,8701,3453,4552,695
"ladu:Bristol, City of",E06000023,18877,22563,22910,2450,2502,14921,3037,347,347,-3686,4656,4247,409,8342,2953,4772,617
ladu:Cornwall,E06000052,17599,17576,17946,2606,2270,10035,3036,371,371,23,6227,5775,452,6204,1967,3570,667
ladu:Isles of Scilly,E06000053,21592,21653,22343,4856,3871,10365,3251,691,691,-61,6704,6245,459,6766,2130,3955,680
ladu:North Somerset,E06000024,21126,22691,23075,2707,1996,14544,3828,384,384,-1565,6840,6376,464,8405,3220,4530,655
ladu:Plymouth,E06000026,16021,17086,17322,1668,1548,11952,2154,236,236,-1065,5724,5328,396,6789,2035,4147,607
ladu:South Gloucestershire,E06000025,20010,24025,24404,2676,1985,16179,3563,379,379,-4015,5124,4663,461,9139,3391,5070,678
ladu:Swindon,E06000030,18726,22997,23315,2245,1825,16687,2558,318,318,-4271,4716,4276,440,8987,3375,4972,640
ladu:Torbay,E06000027,17461,16870,17206,2371,2123,10077,2635,336,336,592,6544,6120,423,5952,1854,3459,639
ladu:Wiltshire,E06000054,20765,23683,24055,2618,2105,15433,3899,372,372,-2918,6204,5726,478,9121,3590,4847,684
ladu:East Devon,E07000040,20359,20120,20571,3172,2186,11124,4089,451,451,239,7287,6825,462,7048,2468,3929,651
ladu:Exeter,E07000041,16080,18605,18934,2319,1925,12425,2265,330,330,-2524,4992,4529,463,7516,2212,4565,739
ladu:Mid Devon,E07000042,18532,20130,20474,2424,2351,12135,3565,345,345,-1597,5881,5431,450,7478,2435,4375,669
ladu:North Devon,E07000043,18367,18309,18701,2759,2334,10621,2988,392,392,58,6505,6050,455,6446,2116,3662,668
ladu:South Hams,E07000044,23198,23223,23750,3708,2797,11364,5881,527,527,-25,7389,6926,463,7413,2685,4061,668
ladu:Teignbridge,E07000045,18985,19930,20326,2782,2216,11857,3471,395,395,-945,6409,5950,460,7355,2425,4257,672
ladu:Torridge,E07000046,16694,15778,16139,2545,2226,8913,2455,362,362,917,6460,6001,459,5543,1768,3108,667
ladu:West Devon,E07000047,20317,19994,20349,2493,2231,10924,4700,355,355,323,7352,6891,461,7028,2423,3938,668
"ladu:Bournemouth, Christchurch and Poole",E06000058,19771,21804,22233,3027,2381,13635,3190,429,429,-2033,5938,5494,444,7971,2914,4398,659
ladu:Dorset,E06000059,20416,20701,21161,3243,2171,12151,3597,461,461,-285,7308,6830,478,7593,2780,4117,697
ladu:Cheltenham,E07000078,20885,24166,24582,2934,2219,15529,3900,416,416,-3281,5923,5449,474,9204,3634,4872,698
ladu:Cotswold,E07000079,28610,32577,33157,4083,2962,18460,7651,579,579,-3967,7396,6915,482,11363,5304,5383,676
ladu:Forest of Dean,E07000080,17065,17956,18262,2160,1997,11849,2257,306,306,-891,5909,5429,480,6801,2549,3570,682
ladu:Gloucester,E07000081,16252,18353,18621,1889,1627,13796,1309,268,268,-2101,5330,4869,460,7430,2492,4251,687
ladu:Stroud,E07000082,21543,23988,24379,2758,2310,14826,4485,391,391,-2445,6239,5765,473,8684,3474,4533,677
ladu:Tewkesbury,E07000083,20199,22656,23051,2784,1873,14792,3602,395,395,-2457,6145,5675,470,8602,3362,4567,673
ladu:Mendip,E07000187,20262,21635,22016,2677,2495,12809,4035,381,381,-1373,6203,5734,468,7576,2776,4113,686
ladu:Sedgemoor,E07000188,17823,19007,19320,2206,1972,12507,2635,314,314,-1183,6078,5611,467,7261,2532,4046,683
ladu:South Somerset,E07000189,19553,20493,20821,2307,1934,12627,3953,328,328,-939,6451,5981,470,7391,2636,4075,679
ladu:Somerset West and Taunton,E07000246,18114,18605,18945,2395,2017,12079,2454,341,341,-491,6596,6123,473,7086,2497,3907,682
ladu:Isle of Anglesey,W06000001,16389,16652,16970,2215,1474,10822,2459,318,318,-263,6443,5938,506,6706,2081,3905,720
ladu:Gwynedd,W06000002,15006,15295,15592,2068,1581,9532,2411,297,297,-289,5653,5182,471,5942,1835,3421,686
ladu:Conwy,W06000003,16674,16349,16657,2146,1504,10460,2546,308,308,326,6680,6188,492,6354,2010,3643,702
ladu:Denbighshire,W06000004,16696,16880,17128,1724,1437,11169,2798,248,248,-184,6540,6057,482,6723,2119,3901,703
ladu:Flintshire,W06000005,17419,19238,19505,1861,1183,14140,2321,267,267,-1819,6122,5615,506,7940,2861,4368,712
ladu:Wrexham,W06000006,17040,18362,18592,1597,1179,12864,2952,229,229,-1322,5831,5330,501,7153,2476,3968,709
ladu:Powys,W06000023,16984,16545,16877,2304,2085,9234,3254,332,332,439,6554,6030,524,6115,1936,3436,743
ladu:Ceredigion,W06000008,15213,15046,15399,2452,1740,8666,2541,353,353,167,5861,5357,505,5695,1799,3169,727
ladu:Pembrokeshire,W06000009,16184,15839,16158,2211,1525,9731,2691,318,318,345,6483,5990,493,6138,1903,3535,701
ladu:Carmarthenshire,W06000010,15742,16173,16417,1696,1332,10926,2464,244,244,-431,6476,5986,490,6907,2064,4136,707
ladu:Swansea,W06000011,15169,15824,16054,1599,1204,11012,2239,229,229,-655,5950,5491,459,6605,2035,3897,673
ladu:Neath Port Talbot,W06000012,15719,15219,15401,1274,969,11343,1816,183,183,500,6953,6491,463,6453,2004,3774,675
ladu:Bridgend,W06000013,15430,16866,17122,1782,1161,12217,1962,256,256,-1436,5570,5110,460,7006,2247,4087,672
ladu:Vale of Glamorgan,W06000014,18876,20709,21083,2605,1534,13480,3464,374,374,-1833,6389,5930,459,8222,2867,4714,641
ladu:Cardiff,W06000015,16115,18620,18907,1999,1475,12833,2600,287,287,-2505,5127,4669,458,7632,2463,4492,676
ladu:Rhondda Cynon Taff,W06000016,14675,15485,15674,1319,1292,11341,1721,189,189,-810,5714,5269,445,6525,2021,3851,652
ladu:Merthyr Tydfil,W06000024,14687,15456,15605,1037,1159,11297,2113,149,149,-768,5721,5278,443,6490,1921,3917,652
ladu:Caerphilly,W06000018,15099,16069,16266,1376,1054,11754,2082,197,197,-970,5775,5324,451,6745,1982,4103,660
ladu:Blaenau Gwent,W06000019,13002,13413,13543,904,986,10675,977,130,130,-411,5653,5194,459,6064,1750,3643,671
ladu:Torfaen,W06000020,14990,16359,16564,1428,1036,12085,2016,205,205,-1369,5662,5209,453,7031,2133,4241,658
ladu:Monmouthshire,W06000021,20059,22202,22596,2747,1645,13884,4321,394,394,-2143,6480,5966,515,8624,3437,4479,707
ladu:Newport,W06000022,15923,17439,17692,1758,1197,13039,1697,252,252,-1516,5743,5252,491,7259,2476,4077,706
ladu:Aberdeen City,S12000033,20021,25254,25612,2489,1331,18509,3282,358,358,-5233,5031,4574,457,10263,4398,5175,690
ladu:Aberdeenshire,S12000034,20982,25767,26218,3137,1465,17754,3863,451,451,-4785,5078,4637,441,9863,4197,5026,640
ladu:Angus,S12000041,18627,20144,20471,2272,1232,13564,3403,327,327,-1517,6001,5611,390,7518,2565,4364,589
ladu:Argyll and Bute,S12000035,17555,17439,17739,2081,1837,11290,2531,300,300,115,6839,6414,425,6723,2383,3699,642
ladu:Clackmannanshire,S12000005,18579,18637,18858,1531,1088,14174,2064,220,220,-58,7900,7489,412,7959,2741,4591,627
ladu:Dumfries and Galloway,S12000006,17300,17656,17931,1910,1572,11268,3181,275,275,-356,6563,6136,427,6919,2026,4246,648
ladu:Dundee City,S12000042,14898,15600,15778,1237,1322,11702,1517,178,178,-702,5697,5306,391,6399,1990,3786,623
ladu:East Ayrshire,S12000008,16309,17673,17880,1440,1236,12763,2441,207,207,-1364,5689,5294,396,7054,2258,4183,613
ladu:East Dunbartonshire,S12000045,22689,26080,26589,3538,1515,16874,4662,509,509,-3391,6503,6086,417,9894,3895,5379,620
ladu:East Lothian,S12000010,20825,23912,24297,2679,1741,15971,3906,385,385,-3087,6098,5664,433,9184,3691,4854,639
ladu:East Renfrewshire,S12000011,22871,26735,27287,3836,1385,16491,5574,552,552,-3864,5777,5379,397,9641,3905,5140,596
ladu:City of Edinburgh,S12000036,21707,26048,26471,2941,2374,17073,4081,423,423,-4341,5331,4937,394,9672,3980,5075,617
ladu:Na h-Eileanan Siar,S12000013,16462,17373,17615,1683,1573,11719,2640,242,242,-911,5778,5338,440,6689,2024,4007,659
ladu:Falkirk,S12000014,17060,19570,19795,1565,1226,14751,2253,225,225,-2509,5449,5033,416,7958,2752,4578,628
ladu:Fife,S12000047,16986,18707,18988,1956,1163,13465,2403,281,281,-1720,5833,5421,413,7554,2577,4351,626
ladu:Glasgow City,S12000049,15699,17774,17991,1508,1451,12821,2212,217,217,-2075,5014,4671,342,7089,2301,4227,562
ladu:Highland,S12000017,18423,20134,20526,2720,1618,13309,2879,392,392,-1711,5865,5432,433,7576,2534,4389,653
ladu:Inverclyde,S12000018,16536,16982,17182,1385,912,13149,1735,199,199,-447,6633,6219,414,7080,2553,3901,626
ladu:Midlothian,S12000019,18422,21411,21785,2603,1435,15474,2273,374,374,-2988,5492,5064,428,8481,3115,4727,638
ladu:Moray,S12000020,16891,19172,19478,2125,1367,13365,2621,306,306,-2280,5274,4839,435,7554,2573,4336,645
ladu:North Ayrshire,S12000021,15803,16479,16682,1409,1036,12304,1933,203,203,-676,6163,5764,399,6839,2219,4012,608
ladu:North Lanarkshire,S12000050,16261,18574,18779,1425,1120,14209,2024,205,205,-2313,5168,4779,389,7481,2467,4417,597
ladu:Orkney Islands,S12000023,17672,20558,20919,2499,1545,12864,4010,361,361,-2885,5268,4813,456,8154,2137,5342,674
ladu:Perth and Kinross,S12000048,19362,21391,21760,2562,1675,14099,3424,369,369,-2029,6108,5675,433,8138,3208,4286,643
ladu:Renfrewshire,S12000038,17040,19069,19352,1969,1041,14677,1665,283,283,-2028,5886,5476,410,7915,2818,4467,630
ladu:Scottish Borders,S12000026,18739,19783,20122,2356,1678,12624,3463,339,339,-1044,6465,6027,438,7509,2659,4195,655
ladu:Shetland Islands,S12000027,19586,23678,24043,2529,2036,16651,2826,364,364,-4092,4849,4389,461,8942,3121,5151,670
ladu:South Ayrshire,S12000028,18037,18816,19147,2299,1171,12970,2708,331,331,-779,6599,6182,417,7378,2611,4130,638
ladu:South Lanarkshire,S12000029,17751,20325,20610,1980,1282,14735,2614,285,285,-2575,5649,5239,410,8223,2835,4766,623
ladu:Stirling,S12000030,19564,22191,22483,2035,1637,15053,3759,293,293,-2627,6321,5888,433,8948,3641,4644,663
ladu:West Dunbartonshire,S12000039,15302,16295,16473,1233,963,13219,1057,177,177,-994,6024,5607,417,7017,2276,4100,642
ladu:West Lothian,S12000040,17366,20478,20729,1749,1176,15427,2377,251,251,-3112,5310,4897,414,8422,2892,4913,617
ladu:Antrim and Newtownabbey,N09000001,16420,18361,18539,1972,1421,12746,2399,177,177,-1941,5369,4814,555,7310,2199,4359,752
"ladu:Armagh City, Banbridge and Craigavon",N09000002,15589,17501,17654,1687,1774,11681,2513,153,153,-1912,4871,4316,555,6783,2043,3994,746
ladu:Belfast,N09000003,15605,16654,16789,1509,1763,11410,2107,135,135,-1049,5438,4955,483,6486,2012,3789,685
ladu:Causeway Coast and Glens,N09000004,16041,16391,16574,2016,2012,10025,2521,183,183,-350,5431,4878,553,5781,1760,3266,756
ladu:Derry City and Strabane,N09000005,14382,14340,14467,1403,1640,9462,1963,127,127,41,5474,4976,498,5432,1550,3191,692
ladu:Fermanagh and Omagh,N09000006,15158,16066,16222,1714,2094,9748,2666,156,156,-908,5180,4619,561,6088,1670,3662,755
ladu:Lisburn and Castlereagh,N09000007,18172,21077,21294,2409,1625,14386,2873,216,216,-2905,5304,4717,587,8209,2803,4617,788
ladu:Mid and East Antrim,N09000008,16921,18346,18517,1899,1579,12499,2539,171,171,-1425,5508,4936,573,6933,2124,4032,778
ladu:Mid Ulster,N09000009,15899,17531,17681,1644,2244,10889,2905,150,150,-1632,4683,4115,568,6316,1775,3786,755
"ladu:Newry, Mourne and Down",N09000010,15316,16536,16703,1856,2188,10131,2528,168,168,-1219,4970,4422,547,6189,1757,3695,737
ladu:Ards and North Down,N09000011,17377,18337,18544,2306,1799,11660,2779,207,207,-960,6256,5688,568,7216,2295,4146,774
gor:North East,E12000001,15933,17026,17265,1678,1182,12104,2301,239,239,-1092,5891,5439,452,6983,2308,4012,663
gor:North West,E12000002,17164,18938,19251,2046,1456,13045,2705,313,313,-1774,5633,5251,382,7407,2619,4200,588
gor:Yorkshire and The Humber,E12000003,16517,18173,18471,1815,1493,12493,2669,298,298,-1656,5494,5088,406,7151,2446,4093,612
gor:East Midlands,E12000004,17187,19349,19661,1882,1544,13432,2803,312,312,-2162,5465,5032,433,7627,2763,4223,641
gor:West Midlands,E12000005,16912,18793,19099,1919,1510,12943,2727,306,306,-1882,5431,5023,407,7312,2619,4083,610
gor:East,E12000006,20595,24239,24648,2739,2234,16080,3595,409,409,-3644,5586,5145,441,9230,3869,4715,646
gor:London,E12000007,27572,35302,35777,4380,4253,21914,5229,474,474,-7731,4583,4254,329,12313,6113,5672,528
gor:South East,E12000008,22750,27101,27528,3487,2411,17597,4033,427,427,-4351,5837,5425,412,10189,4546,5026,617
gor:South West,E12000009,19343,21103,21479,2648,2165,13286,3379,376,376,-1760,6054,5599,455,7814,2821,4326,667
gor:Wales,W92000004,16018,16949,17208,1807,1344,11650,2407,260,260,-930,5983,5508,475,6914,2223,4005,686
gor:Scotland,S92000003,18110,20531,20838,2128,1444,14442,2823,306,306,-2421,5659,5252,407,8081,2925,4534,622
gor:Northern Ireland,N92000002,16012,17300,17464,1817,1825,11341,2481,164,164,-1288,5316,4773,543,6603,2002,3861,740
